"Franchise"	"Games"	"Wins"	"Losses"	"Win.Loss.Percent"	"Runs.Scored"	"Runs.Allowed"	"Home.Games"	"Away.Games"	"Home.Wins"	"Home.Losss"	"Away.Wins"	"Away.Losses"
"Arizona.Diamondbacks"	15	9	6	0.6	71	53	12	3	7	5	2	1
"Atlanta.Braves"	58	30	28	0.517	247	258	29	29	13	16	17	12
"Baltimore.Orioles"	2151	1170	967	0.547	10217	9277	1062	1075	629	433	541	534
"Chicago.Cubs"	12	5	7	0.417	64	67	6	6	2	4	3	3
"Chicago.White.Sox"	1911	970	930	0.511	8260	8065	950	950	559	391	411	539
"Cincinnati.Reds"	10	9	1	0.9	55	23	5	5	5	0	4	1
"Cleveland.Indians"	2009	971	1030	0.485	9078	9317	1003	998	526	477	445	553
"Colorado.Rockies"	16	8	8	0.5	94	85	8	8	5	3	3	5
"Detroit.Tigers"	2002	1027	962	0.516	9457	9176	997	992	562	435	465	527
"Florida.Marlins"	30	20	10	0.667	196	129	18	12	12	6	8	4
"Houston.Astros"	23	17	6	0.739	146	91	11	12	9	2	8	4
"Kansas.City.Royals"	447	224	223	0.501	2130	2009	226	221	126	100	98	123
"Los.Angeles.Angels.of.Anaheim"	627	332	294	0.53	2832	2669	317	309	185	132	147	162
"Los.Angeles.Dodgers"	12	7	5	0.583	52	48	6	6	5	1	2	4
"Milwaukee.Brewers"	406	218	188	0.537	1978	1877	206	200	118	88	100	100
"Minnesota.Twins"	1901	962	927	0.509	8539	8317	940	949	539	401	423	526
"New.York.Mets"	21	11	10	0.524	95	72	12	9	7	5	4	5
"New.York.Yankees"	2114	953	1147	0.454	9228	10138	1052	1048	522	530	431	617
"Oakland.Athletics"	1948	1062	876	0.548	9370	8492	974	964	589	385	473	491
"Philadelphia.Phillies"	53	31	22	0.585	307	240	22	31	14	8	17	14
"Pittsburgh.Pirates"	9	5	4	0.556	46	30	3	6	2	1	3	3
"San.Diego.Padres"	15	10	5	0.667	62	44	9	6	6	3	4	2
"San.Francisco.Giants"	12	8	4	0.667	72	38	3	9	3	0	5	4
"Seattle.Mariners"	395	227	168	0.575	2025	1790	193	202	119	74	108	94
"St..Louis.Cardinals"	12	4	8	0.333	52	60	6	6	2	4	2	4
"Tampa.Bay.Rays"	294	169	125	0.575	1503	1226	145	149	93	52	76	73
"Texas.Rangers"	639	335	304	0.524	3137	2967	320	319	200	120	135	184
"Toronto.Blue.Jays"	556	304	252	0.547	2794	2600	276	280	149	127	155	125
"Washington.Nationals"	24	13	11	0.542	130	109	12	12	9	3	4	8
